# 기상청 행정구역코드(areaNo) → 대표 좌표. 생활기상지수 API가 nx/ny 격자가 아니라 이 코드를 받는다.
# 출처: 기상청 '동네예보 구역코드' 배포 엑셀(dfs-zone-tree, 2026-07-01) 중 시군구 단위 행만 추린 것.
# 좌표는 해당 구역의 대표 지점이며, AreaCodeResolver가 최근접 탐색에만 쓴다.
# 형식: areaNo,위도,경도,이름
1111000000,37.57038,126.98164,서울특별시 종로구
1114000000,37.56100,126.99964,서울특별시 중구
1117000000,37.53609,126.96752,서울특별시 용산구
1120000000,37.56061,127.03900,서울특별시 성동구
1121500000,37.53574,127.08453,서울특별시 광진구
1123000000,37.57162,127.04214,서울특별시 동대문구
1126000000,37.60381,127.09478,서울특별시 중랑구
1129000000,37.58638,127.02033,서울특별시 성북구
1130500000,37.63696,127.02772,서울특별시 강북구
1132000000,37.66583,127.04952,서울특별시 도봉구
1135000000,37.65146,127.05839,서울특별시 노원구
1138000000,37.59997,126.93124,서울특별시 은평구
1141000000,37.57637,126.93890,서울특별시 서대문구
1144000000,37.56071,126.91053,서울특별시 마포구
1147000000,37.51423,126.86871,서울특별시 양천구
1150000000,37.54816,126.85168,서울특별시 강서구
1153000000,37.49265,126.88960,서울특별시 구로구
1154500000,37.44911,126.90420,서울특별시 금천구
1156000000,37.52361,126.89834,서울특별시 영등포구
1159000000,37.50966,126.94158,서울특별시 동작구
1162000000,37.47539,126.95384,서울특별시 관악구
1165000000,37.48079,127.03481,서울특별시 서초구
1168000000,37.51458,127.04956,서울특별시 강남구
1171000000,37.51176,127.10793,서울특별시 송파구
1174000000,37.52737,127.12586,서울특별시 강동구
1200000000,34.81304,126.46500,전남광주통합특별시 6572
2611000000,35.10322,129.03451,부산광역시 중구
2614000000,35.09484,129.02638,부산광역시 서구
2617000000,35.13589,129.05918,부산광역시 동구
2620000000,35.08812,129.07019,부산광역시 영도구
2623000000,35.15995,129.05532,부산광역시 부산진구
2626000000,35.20187,129.08586,부산광역시 동래구
2629000000,35.13341,129.08650,부산광역시 남구
2632000000,35.19418,128.99247,부산광역시 북구
2635000000,35.16002,129.16581,부산광역시 해운대구
2638000000,35.10143,128.97704,부산광역시 사하구
2641000000,35.24008,129.09432,부산광역시 금정구
2644000000,35.20916,128.98291,부산광역시 강서구
2647000000,35.17319,129.08208,부산광역시 연제구
2650000000,35.14247,129.11538,부산광역시 수영구
2653000000,35.14947,128.99333,부산광역시 사상구
2671000000,35.24135,129.22448,부산광역시 기장군
2711000000,35.86629,128.60840,대구광역시 중구
2714000000,35.88362,128.63771,대구광역시 동구
2717000000,35.86879,128.56141,대구광역시 서구
2720000000,35.84298,128.59980,대구광역시 남구
2723000000,35.88270,128.58502,대구광역시 북구
2726000000,35.85521,128.63287,대구광역시 수성구
2729000000,35.82693,128.53506,대구광역시 달서구
2771000000,35.77168,128.43327,대구광역시 달성군
2772000000,36.24000,128.57508,대구광역시 군위군
2811000000,37.47093,126.62357,인천광역시 중구
2814000000,37.47104,126.64537,인천광역시 동구
2817700000,37.46068,126.65269,인천광역시 미추홀구
2818500000,37.40712,126.68044,인천광역시 연수구
2820000000,37.44452,126.73380,인천광역시 남동구
2823700000,37.50427,126.72410,인천광역시 부평구
2824500000,37.53479,126.73975,인천광역시 계양구
2826000000,37.54269,126.67820,인천광역시 서구
2871000000,37.74386,126.49000,인천광역시 강화군
2872000000,37.44372,126.63889,인천광역시 옹진군
2911000000,35.14310,126.92518,광주광역시 동구
2914000000,35.14948,126.89341,광주광역시 서구
2915500000,35.11904,126.91014,광주광역시 남구
2917000000,35.17112,126.91412,광주광역시 북구
2920000000,35.13643,126.79579,광주광역시 광산구
3011000000,36.32413,127.43485,대전광역시 동구
3014000000,36.32263,127.42311,대전광역시 중구
3017000000,36.35248,127.38577,대전광역시 서구
3020000000,36.35937,127.35834,대전광역시 유성구
3023000000,36.34379,127.41769,대전광역시 대덕구
3111000000,35.56634,129.33488,울산광역시 중구
3114000000,35.54076,129.33239,울산광역시 남구
3117000000,35.50189,129.41895,울산광역시 동구
3120000000,35.57969,129.36354,울산광역시 북구
3171000000,35.53074,129.29716,울산광역시 울주군
3611000000,36.48001,127.28907,세종특별자치시 세종특별자치시
4111100000,37.30101,127.01222,경기도 수원시장안구
4111300000,37.25473,126.97407,경기도 수원시권선구
4111500000,37.28310,127.03783,경기도 수원시팔달구
4111700000,37.25631,127.04863,경기도 수원시영통구
4113100000,37.44749,127.14772,경기도 성남시수정구
4113300000,37.42767,127.13942,경기도 성남시중원구
4113500000,37.37997,127.12102,경기도 성남시분당구
4115000000,37.73529,127.03584,경기도 의정부시
4117100000,37.38378,126.93450,경기도 안양시만안구
4117300000,37.38970,126.95336,경기도 안양시동안구
4121000000,37.47575,126.86671,경기도 광명시
4122000000,36.98944,127.11466,경기도 평택시
4125000000,37.90092,127.06265,경기도 동두천시
4127100000,37.29852,126.84682,경기도 안산시상록구
4127300000,37.31673,126.81442,경기도 안산시단원구
4128100000,37.63458,126.83420,경기도 고양시덕양구
4128500000,37.65591,126.77706,경기도 고양시일산동구
4128700000,37.67249,126.75278,경기도 고양시일산서구
4129000000,37.42637,126.98980,경기도 과천시
4131000000,37.59163,127.13186,경기도 구리시
4136000000,37.63318,127.21863,경기도 남양주시
4137000000,37.14691,127.07964,경기도 오산시
4139000000,37.37732,126.80508,경기도 시흥시
4141000000,37.35866,126.93750,경기도 군포시
4143000000,37.34195,126.97039,경기도 의왕시
4145000000,37.53650,127.21700,경기도 하남시
4146100000,37.23148,127.20384,경기도 용인시처인구
4146300000,37.27760,127.11679,경기도 용인시기흥구
4146500000,37.31939,127.10010,경기도 용인시수지구
4148000000,37.75708,126.78195,경기도 파주시
4150000000,37.27544,127.44322,경기도 이천시
4155000000,37.00518,127.28184,경기도 안성시
4157000000,37.61246,126.71778,경기도 김포시
4161000000,37.41451,127.25779,경기도 광주시
4163000000,37.78245,127.04782,경기도 양주시
4165000000,37.89216,127.20242,경기도 포천시
4167000000,37.29536,127.63962,경기도 여주시
4180000000,38.09336,127.07707,경기도 연천군
4182000000,37.82883,127.51178,경기도 가평군
4183000000,37.48894,127.48989,경기도 양평군
4311100000,36.58400,127.51173,충청북도 청주시상당구
4311200000,36.63726,127.48329,충청북도 청주시서원구
4311300000,36.61820,127.35942,충청북도 청주시흥덕구
4311400000,36.64431,127.48766,충청북도 청주시청원구
4313000000,36.98818,127.92814,충청북도 충주시
4315000000,37.12977,128.19315,충청북도 제천시
4372000000,36.48653,127.73161,충청북도 보은군
4373000000,36.30355,127.57363,충청북도 옥천군
4374000000,36.17206,127.78561,충청북도 영동군
4374500000,36.78218,127.58329,충청북도 증평군
4375000000,36.85254,127.43764,충청북도 진천군
4376000000,36.81243,127.78883,충청북도 괴산군
4377000000,36.93741,127.69262,충청북도 음성군
4380000000,36.98178,128.36784,충청북도 단양군
4413100000,36.80412,127.15247,충청남도 천안시동남구
4413300000,36.87556,127.15720,충청남도 천안시서북구
4415000000,36.44361,127.12112,충청남도 공주시
